id,review,term,aspect,sentiment,term_from,term_to
0,"Judging from previous posts this used to be a good place, but not any longer.",place,RESTAURANT#GENERAL,negative,51,56
1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE#GENERAL,negative,75,80
2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,SERVICE#GENERAL,negative,0,0
3,The food was lousy - too sweet or too salty and the portions tiny.,food,FOOD#QUALITY,negative,4,8
4,The food was lousy - too sweet or too salty and the portions tiny.,portions,FOOD#STYLE_OPTIONS,negative,52,60
5,"After all that, they complained to me about the small tip.",NULL,SERVICE#GENERAL,negative,0,0
6,Avoid this place!,place,RESTAURANT#GENERAL,negative,11,16
7,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD#QUALITY,positive,38,42
8,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,RESTAURANT#GENERAL,positive,0,4
9,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,FOOD#QUALITY,positive,42,69
10,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,FOOD#QUALITY,positive,4,15
11,The wine list is interesting and has many good values.,wine list,DRINKS#STYLE_OPTIONS,positive,4,13
12,The wine list is interesting and has many good values.,wine list,DRINKS#PRICES,positive,4,13
13,"For the price, you cannot eat this well in Manhattan.",NULL,RESTAURANT#PRICES,positive,0,0
14,"For the price, you cannot eat this well in Manhattan.",NULL,FOOD#QUALITY,positive,0,0
15,I was very disappointed with this restaurant.,restaurant,RESTAURANT#GENERAL,negative,34,44
16,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE#GENERAL,negative,12,26
17,I had to ask her three times before she finally came back with the dish Ive requested.,NULL,SERVICE#GENERAL,negative,0,0
18,"Food was okay, nothing great.",Food,FOOD#QUALITY,neutral,0,4
19,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,FOOD#QUALITY,negative,0,8
20,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,FOOD#QUALITY,negative,18,30
21,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
22,I/we will never go back to this place again.,place,RESTAURANT#GENERAL,negative,32,37
23,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,RESTAURANT#GENERAL,positive,35,39
24,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,SERVICE#GENERAL,positive,0,7
25,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,FOOD#QUALITY,positive,20,27
26,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",NULL,RESTAURANT#PRICES,positive,0,0
27,You can't go wrong here.,NULL,RESTAURANT#GENERAL,positive,0,0
28,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,RESTAURANT#GENERAL,positive,50,65
29,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",NULL,FOOD#QUALITY,positive,0,0
30,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,SERVICE#GENERAL,positive,47,54
31,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,AMBIENCE#GENERAL,positive,73,78
32,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD#QUALITY,positive,10,29
33,Can't wait wait for my next visit.,NULL,RESTAURANT#GENERAL,positive,0,0
34,And I hate to say this but I doubt I'll ever go back. ,NULL,RESTAURANT#GENERAL,negative,0,0
35,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,FOOD#QUALITY,negative,4,8
36,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,FOOD#QUALITY,negative,31,48
37,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",NULL,FOOD#QUALITY,negative,0,0
38,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD#QUALITY,positive,46,88
39,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#QUALITY,positive,16,30
40,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,FOOD#STYLE_OPTIONS,positive,16,30
41,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,AMBIENCE#GENERAL,negative,142,147
42,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,AMBIENCE#GENERAL,positive,4,9
43,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,AMBIENCE#GENERAL,negative,60,64
44,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,DRINKS#STYLE_OPTIONS,positive,6,15
45,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",NULL,SERVICE#GENERAL,positive,0,0
46,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,FOOD#QUALITY,positive,4,19
47,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,FOOD#QUALITY,positive,47,66
48,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE#GENERAL,positive,74,81
49,we love th pink pony.,pink pony,RESTAURANT#GENERAL,positive,11,20
50,THe perfect spot.,spot,RESTAURANT#GENERAL,positive,12,16
51,Food-awesome.,Food,FOOD#QUALITY,positive,0,4
52,Service- friendly and attentive.,Service,SERVICE#GENERAL,positive,0,7
53,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE#GENERAL,positive,0,8
54,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,RESTAURANT#GENERAL,positive,17,22
55,the food is decent.,food,FOOD#QUALITY,neutral,4,8
56,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE#GENERAL,negative,18,25
57,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE#GENERAL,negative,106,112
58,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",NULL,SERVICE#GENERAL,negative,0,0
59,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ",NULL,RESTAURANT#GENERAL,negative,0,0
60,the last time i walked by it looked pretty empty. hmmm.,NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
61,This place has got to be the best japanese restaurant in the new york area.,place,RESTAURANT#GENERAL,positive,5,10
62,I had a great experience.,NULL,RESTAURANT#GENERAL,positive,0,0
63,Food is great.,Food,FOOD#QUALITY,positive,0,4
64,Service is top notch.,Service,SERVICE#GENERAL,positive,0,7
65,I have been going back again and again.,NULL,RESTAURANT#GENERAL,positive,0,0
66,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD#QUALITY,positive,42,52
67,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",NULL,FOOD#QUALITY,positive,0,0
68,The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#QUALITY,positive,4,9
69,The sushi seemed pretty fresh and was adequately proportioned.,sushi,FOOD#STYLE_OPTIONS,positive,4,9
70,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD#STYLE_OPTIONS,positive,4,23
71,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,FOOD#QUALITY,positive,26,47
72,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,FOOD#PRICES,positive,26,47
73,Surprisingly nothing could be further from the truth.,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
74,"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,RESTAURANT#MISCELLANEOUS,positive,65,70
75,The food was well prepared and the service impecable.,food,FOOD#QUALITY,positive,4,8
76,The food was well prepared and the service impecable.,service,SERVICE#GENERAL,positive,35,42
77,I'm going back.,NULL,RESTAURANT#GENERAL,positive,0,0
78,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,NULL,AMBIENCE#GENERAL,positive,0,0
79,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#QUALITY,positive,4,18
80,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#STYLE_OPTIONS,positive,4,18
81,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,FOOD#PRICES,positive,4,18
82,I will be going back and heartily recommend it!,NULL,RESTAURANT#GENERAL,positive,0,0
83,"It is terrific, as is the value.",NULL,FOOD#QUALITY,positive,0,0
84,"It is terrific, as is the value.",NULL,FOOD#PRICES,positive,0,0
85,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#STYLE_OPTIONS,positive,27,31
86,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#QUALITY,positive,27,31
87,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,FOOD#PRICES,positive,27,31
88,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD#QUALITY,positive,42,48
89,Go hungry and enjoy.,NULL,RESTAURANT#GENERAL,positive,0,0
90,"The food here is rather good, but only if you like to wait for it.",food,FOOD#QUALITY,positive,4,8
91,"The food here is rather good, but only if you like to wait for it.",NULL,SERVICE#GENERAL,negative,0,0
92,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,FOOD#QUALITY,positive,11,18
93,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,FOOD#QUALITY,positive,20,24
94,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,FOOD#QUALITY,positive,34,39
95,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,FOOD#QUALITY,negative,49,55
96,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,FOOD#QUALITY,negative,60,64
97,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,SERVICE#GENERAL,negative,4,11
98,"The kitchen however, is almost always slow.",kitchen,SERVICE#GENERAL,negative,4,11
99,"Also, specify if you like your food spicy- its rather bland if you don't.",food,FOOD#QUALITY,negative,31,35
100,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,AMBIENCE#GENERAL,positive,4,12
101,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
102,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,LOCATION#GENERAL,positive,80,84
103,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,SERVICE#GENERAL,positive,18,25
104,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#QUALITY,positive,36,40
105,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,FOOD#PRICES,positive,36,40
106,The lava cake dessert was incredible and I recommend it.,lava cake dessert,FOOD#QUALITY,positive,4,21
107,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,AMBIENCE#GENERAL,positive,19,26
108,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,AMBIENCE#GENERAL,positive,10,20
109,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,FOOD#QUALITY,positive,4,8
110,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#QUALITY,negative,43,60
111,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,FOOD#STYLE_OPTIONS,positive,43,60
112,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,FOOD#QUALITY,negative,104,112
113,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,AMBIENCE#GENERAL,positive,20,28
114,"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,FOOD#QUALITY,neutral,47,51
115,IT WAS HORRIBLE.,NULL,RESTAURANT#GENERAL,negative,0,0
116,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,FOOD#QUALITY,negative,4,9
117,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,FOOD#QUALITY,negative,37,43
118,It looked like shredded cheese partly done - still in strips.,NULL,FOOD#STYLE_OPTIONS,negative,0,0
119,This has got to be one of the most overrated restaurants in Brooklyn.,NULL,RESTAURANT#GENERAL,negative,0,0
120,The pizza is overpriced and soggy.,pizza,FOOD#QUALITY,negative,4,9
121,The pizza is overpriced and soggy.,pizza,FOOD#PRICES,negative,4,9
122,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,FOOD#QUALITY,positive,20,31
123,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,FOOD#QUALITY,negative,80,85
124,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,FOOD#QUALITY,negative,122,127
125,"A big disappointment, all around.",NULL,RESTAURANT#GENERAL,negative,0,0
126,I think I've had some the best meals of my life at minnow.,meals,FOOD#QUALITY,positive,31,36
127,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,FOOD#QUALITY,positive,4,11
128,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,DRINKS#STYLE_OPTIONS,positive,39,48
129,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,FOOD#STYLE_OPTIONS,positive,72,76
130,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,FOOD#QUALITY,positive,31,42
131,Worth the trip from Manhattan.,NULL,RESTAURANT#GENERAL,positive,0,0
132,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,FOOD#QUALITY,positive,5,13
133,Best Pastrami I ever had and great portion without being ridiculous.,portion,FOOD#STYLE_OPTIONS,positive,35,42
134,My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#STYLE_OPTIONS,positive,16,28
135,My wife had the fried shrimp which are huge and loved it.,fried shrimp,FOOD#QUALITY,positive,16,28
136,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,RESTAURANT#GENERAL,positive,105,110
137,This place is the most Japanese it can ever get.,place,RESTAURANT#MISCELLANEOUS,positive,5,10
138,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,RESTAURANT#MISCELLANEOUS,positive,4,9
139,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,FOOD#STYLE_OPTIONS,positive,15,29
140,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,FOOD#QUALITY,positive,31,35
141,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,SERVICE#GENERAL,positive,54,63
142,This place is worth an one-hour drive.,place,RESTAURANT#GENERAL,positive,5,10
143,"I am so coming back here again, as much as I can.",NULL,RESTAURANT#GENERAL,positive,0,0
144,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,RESTAURANT#GENERAL,positive,0,4
145,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,AMBIENCE#GENERAL,positive,0,4
146,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,FOOD#QUALITY,positive,95,103
147,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,AMBIENCE#GENERAL,positive,123,133
148,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,FOOD#QUALITY,positive,70,88
149,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,SERVICE#GENERAL,positive,89,94
150,Decent wine at reasonable prices.,wine,DRINKS#QUALITY,neutral,7,11
151,Decent wine at reasonable prices.,wine,DRINKS#PRICES,positive,7,11
152,Have been dozens of times and never failed to enjoy the experience.,NULL,RESTAURANT#GENERAL,positive,0,0
153,"Our teenage kids love it, too.",NULL,RESTAURANT#GENERAL,positive,0,0
154,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,RESTAURANT#GENERAL,positive,89,106
155,This is by far my favorite place in the neighborhood.,place,RESTAURANT#GENERAL,positive,27,32
156,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,SERVICE#GENERAL,positive,4,11
